date,time,open,high,low,close,volume
2026-01-05,07:00:00,88.09,88.1,87.79,88.05,646.0
2026-01-05,07:05:00,88.05,88.1,87.9,87.93,268.0
2026-01-05,07:10:00,87.93,87.95,87.76,87.76,276.0
2026-01-05,07:15:00,87.77,87.81,87.64,87.7,209.0
2026-01-05,07:20:00,87.72,87.89,87.72,87.88,171.0
2026-01-05,07:25:00,87.87,87.87,87.8,87.81,59.0
2026-01-05,07:30:00,87.8,87.81,87.74,87.76,165.0
2026-01-05,07:35:00,87.75,87.77,87.75,87.77,168.0
2026-01-05,07:40:00,87.75,88.17,87.75,87.93,307.0
2026-01-05,07:45:00,87.89,87.91,87.81,87.81,47.0
2026-01-05,07:50:00,87.83,87.89,87.83,87.89,76.0
2026-01-05,07:55:00,87.9,87.92,87.81,87.81,74.0
2026-01-05,08:00:00,87.82,87.91,87.79,87.8,176.0
2026-01-05,08:05:00,87.75,87.79,87.73,87.73,129.0
2026-01-05,08:10:00,87.74,87.85,87.73,87.85,193.0
2026-01-05,08:15:00,87.85,87.86,87.74,87.76,129.0
2026-01-05,08:20:00,87.75,87.79,87.68,87.79,159.0
2026-01-05,08:25:00,87.79,87.79,87.62,87.63,134.0
2026-01-05,08:30:00,87.62,87.66,87.54,87.62,274.0
2026-01-05,08:35:00,87.63,87.7,87.59,87.66,151.0
2026-01-05,08:40:00,87.67,87.68,87.55,87.62,81.0
2026-01-05,08:45:00,87.62,87.64,87.45,87.55,370.0
2026-01-05,08:50:00,87.5,87.55,87.47,87.55,178.0
2026-01-05,08:55:00,87.59,87.73,87.59,87.68,151.0
2026-01-05,09:00:00,87.67,87.69,87.54,87.62,131.0
2026-01-05,09:05:00,87.6,87.66,87.59,87.66,36.0
2026-01-05,09:10:00,87.67,87.93,87.61,87.84,247.0
2026-01-05,09:15:00,87.86,87.95,87.8,87.82,194.0
2026-01-05,09:20:00,87.8,87.88,87.77,87.87,180.0
2026-01-05,09:25:00,87.89,88.05,87.89,87.94,328.0
2026-01-05,09:30:00,87.96,88.0,87.88,87.98,186.0
2026-01-05,09:35:00,87.96,87.99,87.89,87.9,93.0
2026-01-05,09:40:00,87.9,88.0,87.9,87.98,71.0
2026-01-05,09:45:00,87.97,88.03,87.96,88.03,262.0
2026-01-05,09:50:00,88.0,88.07,88.0,88.01,64.0
2026-01-05,09:55:00,88.01,88.06,87.94,88.05,125.0
2026-01-05,10:00:00,88.05,88.12,88.02,88.11,123.0
2026-01-05,10:05:00,88.11,88.17,88.04,88.1,139.0
2026-01-05,10:10:00,88.11,88.17,88.1,88.17,103.0
2026-01-05,10:15:00,88.17,88.22,88.17,88.19,110.0
2026-01-05,10:20:00,88.21,88.44,88.21,88.31,355.0
2026-01-05,10:25:00,88.31,88.39,88.13,88.31,346.0
2026-01-05,10:30:00,88.35,88.39,88.23,88.28,179.0
2026-01-05,10:35:00,88.3,88.31,88.21,88.29,114.0
2026-01-05,10:40:00,88.27,88.27,88.04,88.09,154.0
2026-01-05,10:45:00,88.09,88.15,88.06,88.12,113.0
2026-01-05,10:50:00,88.17,88.42,88.17,88.31,235.0
2026-01-05,10:55:00,88.37,88.53,88.37,88.5,198.0
2026-01-05,11:00:00,88.48,88.63,88.46,88.53,213.0
2026-01-05,11:05:00,88.59,88.69,88.57,88.63,172.0
2026-01-05,11:10:00,88.63,88.63,88.47,88.55,117.0
2026-01-05,11:15:00,88.56,88.58,88.48,88.58,100.0
2026-01-05,11:20:00,88.59,88.62,88.56,88.57,70.0
2026-01-05,11:25:00,88.6,88.6,88.54,88.54,72.0
2026-01-05,11:30:00,88.57,88.6,88.48,88.51,159.0
2026-01-05,11:35:00,88.52,88.53,88.5,88.5,70.0
2026-01-05,11:40:00,88.51,88.6,88.51,88.54,145.0
2026-01-05,11:45:00,88.56,88.6,88.54,88.57,122.0
2026-01-05,11:50:00,88.58,88.59,88.54,88.59,42.0
2026-01-05,11:55:00,88.6,88.6,88.48,88.55,92.0
2026-01-05,12:00:00,88.56,88.6,88.53,88.59,61.0
2026-01-05,12:05:00,88.6,88.78,88.46,88.46,259.0
2026-01-05,12:10:00,88.47,88.58,88.47,88.56,95.0
2026-01-05,12:15:00,88.57,88.57,88.48,88.48,88.0
2026-01-05,12:20:00,88.49,88.6,88.49,88.51,208.0
2026-01-05,12:25:00,88.53,88.54,88.43,88.46,89.0
2026-01-05,12:30:00,88.49,88.51,88.39,88.39,92.0
2026-01-05,12:35:00,88.43,88.46,88.38,88.38,58.0
2026-01-05,12:40:00,88.41,88.42,88.37,88.4,25.0
2026-01-05,12:45:00,88.4,88.46,88.4,88.46,92.0
2026-01-05,12:50:00,88.46,88.46,88.41,88.42,75.0
2026-01-05,12:55:00,88.42,88.44,88.25,88.28,210.0
2026-01-05,13:00:00,88.28,88.3,88.11,88.12,441.0
2026-01-05,13:05:00,88.12,88.22,88.1,88.18,208.0
2026-01-05,13:10:00,88.15,88.23,88.04,88.05,169.0
2026-01-05,13:15:00,88.05,88.1,87.87,87.95,491.0
2026-01-05,13:20:00,87.94,87.97,87.86,87.96,220.0
2026-01-05,13:25:00,87.96,87.98,87.86,87.89,145.0
2026-01-05,13:30:00,87.89,87.93,87.75,87.79,335.0
2026-01-05,13:35:00,87.79,87.79,87.69,87.75,318.0
2026-01-05,13:40:00,87.75,87.8,87.73,87.76,232.0
2026-01-05,13:45:00,87.76,87.8,87.73,87.78,128.0
2026-01-05,13:50:00,87.79,87.8,87.72,87.72,106.0
2026-01-05,13:55:00,87.73,87.75,87.61,87.61,507.0
2026-01-05,14:00:00,87.62,87.73,87.61,87.72,286.0
2026-01-05,14:05:00,87.72,87.74,87.55,87.57,274.0
2026-01-05,14:10:00,87.55,87.58,87.28,87.29,745.0
2026-01-05,14:15:00,87.27,87.28,87.06,87.13,753.0
2026-01-05,14:20:00,87.15,87.15,87.1,87.15,329.0
2026-01-05,14:25:00,87.14,87.15,87.07,87.15,221.0
2026-01-05,14:30:00,87.14,87.26,87.14,87.16,239.0
2026-01-05,14:35:00,87.17,87.34,87.16,87.31,191.0
2026-01-05,14:40:00,87.3,87.38,87.3,87.31,147.0
2026-01-05,14:45:00,87.32,87.43,87.28,87.34,204.0
2026-01-05,14:50:00,87.34,87.42,87.33,87.4,224.0
2026-01-05,14:55:00,87.38,87.42,87.34,87.4,130.0
2026-01-05,15:00:00,87.39,87.41,87.36,87.39,162.0
2026-01-05,15:05:00,87.38,87.4,87.32,87.34,234.0
2026-01-05,15:10:00,87.36,87.4,87.36,87.37,110.0
2026-01-05,15:15:00,87.38,87.4,87.33,87.35,119.0
2026-01-05,15:20:00,87.35,87.49,87.33,87.48,291.0
2026-01-05,15:25:00,87.49,87.5,87.39,87.39,173.0
2026-01-05,15:30:00,87.41,87.42,87.26,87.27,249.0
2026-01-05,15:35:00,87.27,87.3,87.2,87.21,267.0
2026-01-05,15:40:00,87.21,87.27,87.16,87.25,245.0
2026-01-05,15:45:00,87.27,87.3,87.26,87.27,104.0
2026-01-05,15:50:00,87.27,87.3,87.26,87.28,159.0
2026-01-05,15:55:00,87.28,87.3,87.25,87.3,108.0
2026-01-05,16:00:00,87.3,87.34,87.27,87.29,303.0
2026-01-05,16:05:00,87.29,87.3,87.22,87.24,324.0
2026-01-05,16:10:00,87.24,87.27,87.16,87.19,341.0
2026-01-05,16:15:00,87.18,87.2,87.17,87.17,225.0
2026-01-05,16:20:00,87.17,87.24,87.15,87.17,349.0
2026-01-05,16:25:00,87.16,87.25,87.16,87.24,119.0
2026-01-05,16:30:00,87.26,87.3,87.25,87.26,116.0
2026-01-05,16:35:00,87.27,87.3,87.25,87.3,94.0
2026-01-05,16:40:00,87.29,87.3,87.22,87.23,197.0
2026-01-05,16:45:00,87.23,87.24,87.19,87.21,200.0
2026-01-05,16:50:00,87.21,87.24,87.18,87.21,178.0
2026-01-05,16:55:00,87.21,87.22,87.05,87.14,508.0
2026-01-06,07:00:00,87.51,87.59,87.34,87.37,435.0
2026-01-06,07:05:00,87.4,87.4,87.3,87.37,182.0
2026-01-06,07:10:00,87.37,87.37,87.28,87.31,56.0
2026-01-06,07:15:00,87.33,87.34,87.3,87.34,50.0
2026-01-06,07:20:00,87.34,87.43,87.3,87.43,116.0
2026-01-06,07:25:00,87.42,87.55,87.42,87.53,378.0
2026-01-06,07:30:00,87.52,87.52,87.35,87.36,132.0
2026-01-06,07:35:00,87.34,87.34,87.24,87.33,157.0
2026-01-06,07:40:00,87.32,87.44,87.31,87.43,76.0
2026-01-06,07:45:00,87.44,87.47,87.39,87.4,78.0
2026-01-06,07:50:00,87.38,87.38,87.22,87.22,77.0
2026-01-06,07:55:00,87.22,87.27,87.17,87.25,147.0
2026-01-06,08:00:00,87.25,87.25,87.13,87.22,66.0
2026-01-06,08:05:00,87.21,87.3,87.21,87.29,94.0
2026-01-06,08:10:00,87.29,87.29,87.18,87.18,40.0
2026-01-06,08:15:00,87.19,87.28,87.17,87.28,143.0
2026-01-06,08:20:00,87.29,87.5,87.29,87.48,297.0
2026-01-06,08:25:00,87.48,87.5,87.43,87.44,101.0
2026-01-06,08:30:00,87.43,87.43,87.3,87.33,105.0
2026-01-06,08:35:00,87.33,87.37,87.27,87.32,215.0
2026-01-06,08:40:00,87.32,87.47,87.32,87.39,158.0
2026-01-06,08:45:00,87.4,87.47,87.38,87.47,126.0
2026-01-06,08:50:00,87.5,87.78,87.5,87.68,508.0
2026-01-06,08:55:00,87.7,87.7,87.58,87.7,212.0
2026-01-06,09:00:00,87.67,87.8,87.6,87.61,362.0
2026-01-06,09:05:00,87.64,87.64,87.45,87.47,225.0
2026-01-06,09:10:00,87.47,87.49,87.45,87.49,128.0
2026-01-06,09:15:00,87.48,87.58,87.48,87.49,223.0
